178: Acc-tr:  99.98, Acc-val:  57.21, L-tr: 0.0049, L-val: 2.2445
179: Acc-tr:  99.98, Acc-val:  57.21, L-tr: 0.0049, L-val: 2.2381
180: Acc-tr:  99.98, Acc-val:  56.92, L-tr: 0.0047, L-val: 2.2457
181: Acc-tr:  99.98, Acc-val:  57.03, L-tr: 0.0047, L-val: 2.2444
182: Acc-tr:  99.98, Acc-val:  57.20, L-tr: 0.0046, L-val: 2.2440
183: Acc-tr:  99.98, Acc-val:  56.86, L-tr: 0.0046, L-val: 2.2565
184: Acc-tr:  99.98, Acc-val:  57.18, L-tr: 0.0047, L-val: 2.2329
185: Acc-tr:  99.98, Acc-val:  56.78, L-tr: 0.0047, L-val: 2.2378
186: Acc-tr:  99.98, Acc-val:  56.68, L-tr: 0.0045, L-val: 2.2351
187: Acc-tr:  99.98, Acc-val:  56.93, L-tr: 0.0046, L-val: 2.2300
188: Acc-tr:  99.98, Acc-val:  56.60, L-tr: 0.0044, L-val: 2.2427
189: Acc-tr:  99.98, Acc-val:  56.77, L-tr: 0.0045, L-val: 2.2313
190: Acc-tr:  99.98, Acc-val:  56.80, L-tr: 0.0044, L-val: 2.2317
191: Acc-tr:  99.98, Acc-val:  56.88, L-tr: 0.0045, L-val: 2.2254
192: Acc-tr:  99.98, Acc-val:  56.79, L-tr: 0.0044, L-val: 2.2256
193: Acc-tr:  99.98, Acc-val:  56.78, L-tr: 0.0043, L-val: 2.2271
194: Acc-tr:  99.98, Acc-val:  56.95, L-tr: 0.0044, L-val: 2.2187
195: Acc-tr:  99.98, Acc-val:  56.79, L-tr: 0.0043, L-val: 2.2241
196: Acc-tr:  99.98, Acc-val:  56.94, L-tr: 0.0043, L-val: 2.2228
197: Acc-tr:  99.98, Acc-val:  56.93, L-tr: 0.0044, L-val: 2.2154
198: Acc-tr:  99.98, Acc-val:  57.02, L-tr: 0.0043, L-val: 2.2125
199: Acc-tr:  99.98, Acc-val:  56.98, L-tr: 0.0044, L-val: 2.2101
200: Acc-tr:  99.98, Acc-val:  56.77, L-tr: 0.0043, L-val: 2.2184
201: Acc-tr:  99.98, Acc-val:  56.85, L-tr: 0.0044, L-val: 2.2044
202: Acc-tr:  99.98, Acc-val:  56.90, L-tr: 0.0043, L-val: 2.2107
203: Acc-tr:  99.98, Acc-val:  56.65, L-tr: 0.0041, L-val: 2.2190
204: Acc-tr:  99.98, Acc-val:  56.86, L-tr: 0.0042, L-val: 2.2058
205: Acc-tr:  99.98, Acc-val:  56.65, L-tr: 0.0043, L-val: 2.2005
206: Acc-tr:  99.98, Acc-val:  56.78, L-tr: 0.0043, L-val: 2.2069
207: Acc-tr:  99.98, Acc-val:  56.91, L-tr: 0.0043, L-val: 2.2011
208: Acc-tr:  99.98, Acc-val:  56.76, L-tr: 0.0042, L-val: 2.1981
209: Acc-tr:  99.98, Acc-val:  56.85, L-tr: 0.0043, L-val: 2.1994
210: Acc-tr:  99.98, Acc-val:  56.67, L-tr: 0.0043, L-val: 2.1935
211: Acc-tr:  99.98, Acc-val:  56.69, L-tr: 0.0042, L-val: 2.1948
212: Acc-tr:  99.98, Acc-val:  56.76, L-tr: 0.0043, L-val: 2.1907
213: Acc-tr:  99.98, Acc-val:  56.83, L-tr: 0.0041, L-val: 2.1966
214: Acc-tr:  99.98, Acc-val:  56.73, L-tr: 0.0042, L-val: 2.1879
215: Acc-tr:  99.98, Acc-val:  56.65, L-tr: 0.0043, L-val: 2.1911
216: Acc-tr:  99.98, Acc-val:  56.40, L-tr: 0.0042, L-val: 2.1921
217: Acc-tr:  99.98, Acc-val:  56.56, L-tr: 0.0041, L-val: 2.1932
218: Acc-tr:  99.98, Acc-val:  56.69, L-tr: 0.0042, L-val: 2.1901
219: Acc-tr:  99.98, Acc-val:  56.68, L-tr: 0.0042, L-val: 2.1790
220: Acc-tr:  99.98, Acc-val:  56.74, L-tr: 0.0042, L-val: 2.1856
221: Acc-tr:  99.98, Acc-val:  56.55, L-tr: 0.0043, L-val: 2.1831
222: Acc-tr:  99.98, Acc-val:  56.62, L-tr: 0.0042, L-val: 2.1757
223: Acc-tr:  99.98, Acc-val:  56.73, L-tr: 0.0042, L-val: 2.1752
224: Acc-tr:  99.98, Acc-val:  56.62, L-tr: 0.0042, L-val: 2.1829
225: Acc-tr:  99.98, Acc-val:  56.63, L-tr: 0.0041, L-val: 2.1810
226: Acc-tr:  99.98, Acc-val:  56.54, L-tr: 0.0041, L-val: 2.1883
227: Acc-tr:  99.98, Acc-val:  56.63, L-tr: 0.0042, L-val: 2.1738
228: Acc-tr:  99.98, Acc-val:  56.69, L-tr: 0.0041, L-val: 2.1784
229: Acc-tr:  99.98, Acc-val:  56.44, L-tr: 0.0041, L-val: 2.1839
230: Acc-tr:  99.98, Acc-val:  56.53, L-tr: 0.0041, L-val: 2.1800
231: Acc-tr:  99.98, Acc-val:  56.43, L-tr: 0.0042, L-val: 2.1826
232: Acc-tr:  99.98, Acc-val:  56.52, L-tr: 0.0042, L-val: 2.1772
233: Acc-tr:  99.98, Acc-val:  56.54, L-tr: 0.0041, L-val: 2.1718
234: Acc-tr:  99.98, Acc-val:  56.79, L-tr: 0.0042, L-val: 2.1695
235: Acc-tr:  99.98, Acc-val:  56.44, L-tr: 0.0041, L-val: 2.1730
